date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:59	81362/81362	---M-Z	200	added ('OK')	text/html	etag:%2233fb-5850d9d198ac6%22	https://wascade.ma/	C:/My%20Web%20Sites/wascade/wascade.ma/index.html	(from )
23:11:59	389/389	---MCZ	200	added ('OK')	text/html	etag:%22b9c092b8f49f808a2af79518d35b17cf%22	https://wascade.ma/robots.txt		(from )
23:12:01	42/42	---MCZ	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2009%20Nov%202020%2022:11:58%20GMT	https://wascade.ma/xmlrpc.php	C:/My%20Web%20Sites/wascade/wascade.ma/xmlrpc.php	(from https://wascade.ma/)
23:12:47	290994/290994	---M--	200	added ('OK')	image/jpeg	etag:%22470b2-56858719bcd00%22	https://wascade.ma/wp-content/uploads/2018/02/bg-1-1.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/02/bg-1-1.jpg	(from https://wascade.ma/)
23:12:48	12831/12831	---MCZ	200	added ('OK')	application/rss+xml	etag:%229cd0960edf67355712d210653831dfda%22	https://wascade.ma/feed/	C:/My%20Web%20Sites/wascade/wascade.ma/feed/index.html	(from https://wascade.ma/)
23:12:50	1192/1192	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bbc408a7c2661464937d9e3da4f2f834%22	https://wascade.ma/comments/feed/	C:/My%20Web%20Sites/wascade/wascade.ma/comments/feed/index.html	(from https://wascade.ma/)
23:13:06	63403/63403	---MCZ	200	added ('OK')	application/json	date:Mon,%2009%20Nov%202020%2022:13:00%20GMT	https://wascade.ma/wp-json/	C:/My%20Web%20Sites/wascade/wascade.ma/wp-json/index.html	(from https://wascade.ma/)
23:13:06	800/800	---MCZ	200	added ('OK')	text/xml	date:Mon,%2009%20Nov%202020%2022:13:00%20GMT	https://wascade.ma/xmlrpc.php?rsd	C:/My%20Web%20Sites/wascade/wascade.ma/xmlrpc0db0.php	(from https://wascade.ma/)
23:13:13	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-56851db185d40%22	https://wascade.ma/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/wascade/wascade.ma/wp-includes/wlwmanifest.xml	(from https://wascade.ma/)
23:13:22	282402/282402	---M--	200	added ('OK')	application/x-javascript	etag:%22pri1567676678%22	https://wascade.ma/wp-content/cache/minify/eff97.js	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/cache/minify/eff97.js	(from https://wascade.ma/)
23:13:22	1429933/1429933	---M--	200	added ('OK')	text/css	etag:%22pri1535459300%22	https://wascade.ma/wp-content/cache/minify/0381e.css	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/cache/minify/0381e.css	(from https://wascade.ma/)
23:13:23	2164/2164	---MCZ	200	added ('OK')	application/json	date:Mon,%2009%20Nov%202020%2022:13:21%20GMT	https://wascade.ma/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwascade.ma%2F	C:/My%20Web%20Sites/wascade/wascade.ma/wp-json/oembed/1.0/embed56a3.json	(from https://wascade.ma/)
23:13:24	2658/2658	---MCZ	200	added ('OK')	text/xml	date:Mon,%2009%20Nov%202020%2022:13:22%20GMT	https://wascade.ma/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwascade.ma%2F&format=xml	C:/My%20Web%20Sites/wascade/wascade.ma/wp-json/oembed/1.0/embed0539	(from https://wascade.ma/)
23:13:29	1/1	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Nov%202020%2022:13:23%20GMT	https://wascade.ma/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/wascade/wascade.ma/wp-admin/admin-ajax.php	(from https://wascade.ma/)
23:13:31	5826/5826	---M--	200	added ('OK')	image/png	etag:%2216c2-56858993ee540%22	https://wascade.ma/wp-content/uploads/2018/02/favicon-50x50.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/02/favicon-50x50.png	(from https://wascade.ma/)
23:13:32	160114/160114	---M--	200	added ('OK')	image/png	etag:%2227172-568589bcf0600%22	https://wascade.ma/wp-content/uploads/2018/02/favicon-320x320.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/02/favicon-320x320.png	(from https://wascade.ma/)
23:13:33	6577/6577	---MCZ	200	added ('OK')	text/html	etag:%2288a6c85b99a53d4605baa8036c7761a7%22	https://wascade.ma/rsslatest.xml	C:/My%20Web%20Sites/wascade/wascade.ma/rsslatest.html	(from https://wascade.ma/)
23:13:33	99551/99551	---M--	200	added ('OK')	image/gif	etag:%22184df-568613af7fb80%22	https://wascade.ma/wp-content/uploads/2015/12/placeholder.gif?id=122	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2015/12/placeholderb4cd.gif	(from https://wascade.ma/)
23:13:35	9441/9441	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Nov%202020%2022:13:32%20GMT	https://wascade.ma/0661354417	C:/My%20Web%20Sites/wascade/wascade.ma/0661354417.e.delayed	(from https://wascade.ma/)
23:13:35	287540/287540	---M--	200	added ('OK')	image/png	etag:%2246334-568587e3eaa00%22	https://wascade.ma/wp-content/uploads/2018/02/logo-sm-trsp.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/02/logo-sm-trsp.png	(from https://wascade.ma/)
23:13:37	50218/50218	---M-Z	200	added ('OK')	text/html	etag:%222832-5850e8e7005cd%22	https://wascade.ma/a-propos/	C:/My%20Web%20Sites/wascade/wascade.ma/a-propos/index.html	(from https://wascade.ma/)
23:13:37	52024/52024	---M-Z	200	added ('OK')	text/html	etag:%222634-5851013b495a8%22	https://wascade.ma/nos-services/	C:/My%20Web%20Sites/wascade/wascade.ma/nos-services/index.html	(from https://wascade.ma/)
23:13:38	48215/48215	---MCZ	200	added ('OK')	text/html	etag:%22e8f6ed3aaeed917b43efb7c627aca826%22	https://wascade.ma/services/deratisation	C:/My%20Web%20Sites/wascade/wascade.ma/services/deratisation.html	(from https://wascade.ma/)
23:13:42	50615/50615	---MCZ	200	added ('OK')	text/html	etag:%22a9c2bbcd70df7cbcfce9d66f707f0daf%22	https://wascade.ma/services/desinsectisation	C:/My%20Web%20Sites/wascade/wascade.ma/services/desinsectisation.html	(from https://wascade.ma/)
23:13:43	48974/48974	---MCZ	200	added ('OK')	text/html	etag:%220a5575b45a3e5777aadd45d11db15f5b%22	https://wascade.ma/services/desinfection	C:/My%20Web%20Sites/wascade/wascade.ma/services/desinfection.html	(from https://wascade.ma/)
23:13:43	48439/48439	---MCZ	200	added ('OK')	text/html	etag:%2268415e4dbca30faed39c93c37151181d%22	https://wascade.ma/services/capture-des-chats-errants	C:/My%20Web%20Sites/wascade/wascade.ma/services/capture-des-chats-errants.html	(from https://wascade.ma/)
23:13:43	47168/47168	---MCZ	200	added ('OK')	text/html	etag:%220f144debf45fdcb54de86ec8179c8408%22	https://wascade.ma/services/capture-des-chiens-errants	C:/My%20Web%20Sites/wascade/wascade.ma/services/capture-des-chiens-errants.html	(from https://wascade.ma/)
23:13:44	47284/47284	---MCZ	200	added ('OK')	text/html	etag:%2234368eaafe29653773bf354f0ae0d114%22	https://wascade.ma/services/depigeonnisation	C:/My%20Web%20Sites/wascade/wascade.ma/services/depigeonnisation.html	(from https://wascade.ma/)
23:13:45	73/73	---M--	200	added ('OK')	image/png	etag:%2249-56851da8f0900%22	https://wascade.ma/wp-content/plugins/revslider/admin/assets/images/dummy.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/admin/assets/images/dummy.png	(from https://wascade.ma/)
23:13:45	52504/52504	---M-Z	200	added ('OK')	text/html	etag:%22232c-5850ea6e767f0%22	https://wascade.ma/nos-produits/	C:/My%20Web%20Sites/wascade/wascade.ma/nos-produits/index.html	(from https://wascade.ma/)
23:13:46	28285/28285	---M-Z	200	added ('OK')	text/html	etag:%221e34-585104ef0d4aa%22	https://wascade.ma/contact/	C:/My%20Web%20Sites/wascade/wascade.ma/contact/index.html	(from https://wascade.ma/)
23:13:46	50218/50218	---MCZ	200	added ('OK')	text/html	etag:%2282dc619c71d3711dae09b7389bfef64d%22	https://wascade.ma/a-propos	C:/My%20Web%20Sites/wascade/wascade.ma/a-propos.html	(from https://wascade.ma/)
23:13:47	48974/48974	---M-Z	200	added ('OK')	text/html	etag:%222812-596eff007724d%22	https://wascade.ma/services/desinfection/	C:/My%20Web%20Sites/wascade/wascade.ma/services/desinfection/index.html	(from https://wascade.ma/)
